,epsilon,rewards,discounted_rewards,forecast
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,2
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,2
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,2
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,2
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,2
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,2
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,2
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,2
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,2
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,2
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,2
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,2
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,2
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,2
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,2
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,2
0,0.20740740740740737,2728.6082600689906,102.5066333111981,2
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,2
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,2
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,2
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,2
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
0,0.20740740740740737,2728.6082600689906,102.5066333111981,2
0,0.20740740740740737,2728.6082600689906,102.5066333111981,0
0,0.20740740740740737,2728.6082600689906,102.5066333111981,1
