,epsilon,rewards,discounted_rewards,forecast,alt_forecast,average_forecast,alt_average_forecast,average_failure_point,horizon
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
0,0.0,144.98895285398982,25.814806488610706,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
1,0.0,135.88602967838477,24.494861036009343,0,[0],0.0,0.0,2.0,1
