,epsilon,rewards,discounted_rewards,forecast
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,3
0,0.1382716049382716,2732.032435509136,103.12852693604304,3
0,0.1382716049382716,2732.032435509136,103.12852693604304,3
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,3
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,3
0,0.1382716049382716,2732.032435509136,103.12852693604304,3
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,3
0,0.1382716049382716,2732.032435509136,103.12852693604304,3
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,3
0,0.1382716049382716,2732.032435509136,103.12852693604304,3
0,0.1382716049382716,2732.032435509136,103.12852693604304,3
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,3
0,0.1382716049382716,2732.032435509136,103.12852693604304,3
0,0.1382716049382716,2732.032435509136,103.12852693604304,3
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,3
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,3
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,3
0,0.1382716049382716,2732.032435509136,103.12852693604304,3
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,2
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,1
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
0,0.1382716049382716,2732.032435509136,103.12852693604304,0
